Title,Artist,lyricss,pre_clean
Scream,MichaelJackson,I m tired of injustice  I m tired of the schemes The lies are disgusting  so what does it mean  damn it  You re kicking me down  I got to get up As jacked as it sounds  the whole system sucks  damn it  Peek in the shadow  come into the light You tell me I m wrong  then you better prove you re right You re selling out souls but I care about mine I ve got to get stronger  and I won t give up the fight  With such confusion  don t it make you wanna scream   Make you wanna scream   Your bash abusing victimize within the scheme You try to cope with every lie they scrutinize Somebody please have mercy   cause I just can t take it  Stop pressuring me  just stop pressuring me Stop pressuring me  make me wanna scream Stop pressuring me  just stop pressuring me Stop pressuring me  make you just wanna scream  I m tired of you telling the story your way You re causing confusion  you think it s okay  damn it You keep changing up rules  while I keep playing the game I can t take it much longer  I think I might go insane  With such confusion  don t it make you wanna scream   Make you wanna scream   Your bash abusing victimize within the scheme You find your pleasure scandalizing every lie So Father  please have mercy   cause I just can t take it  Stop pressuring me  just stop pressuring me Stop pressuring me  make me wanna scream Stop pressuring me  just stop pressuring me Stop fuckin  with me  make me wanna scream  Oh my God  can t believe what I saw as I turned the TV This evening  I was disgusted by all the injustice All the injustice  all the injustice   With such delusions  don t it make you wanna scream   Make you wanna scream   Your bash abusing victimize within the scheme You try to cope with every lie they scrutinize Oh brother  please have mercy   cause I just can t take it  Stop pressuring me  just stop pressuring me Stop pressuring me  make me wanna scream Stop pressuring me  just stop pressuring me Stop pressuring me  make me wanna scream Stop pressuring me  just stop pressuring me Stop pressuring me  make me wanna scream Stop pressuring me  just stop pressuring me Stop pressuring me  make me wanna scream  stop your pressure ,i m tired of injustice  i m tired of the schemes the lies are disgusting  so what does it mean  damn it  you re kicking me down  i got to get up as jacked as it sounds  the whole system sucks  damn it  peek in the shadow  come into the light you tell me i m wrong  then you better prove you re right you re selling out souls but i care about mine i ve got to get stronger  and i won t give up the fight  with such confusion  don t it make you wanna scream   make you wanna scream   your bash abusing victimize within the scheme you try to cope with every lie they scrutinize somebody please have mercy   cause i just can t take it  stop pressuring me  just stop pressuring me stop pressuring me  make me wanna scream stop pressuring me  just stop pressuring me stop pressuring me  make you just wanna scream  i m tired of you telling the story your way you re causing confusion  you think it s okay  damn it you keep changing up rules  while i keep playing the game i can t take it much longer  i think i might go insane  with such confusion  don t it make you wanna scream   make you wanna scream   your bash abusing victimize within the scheme you find your pleasure scandalizing every lie so father  please have mercy   cause i just can t take it  stop pressuring me  just stop pressuring me stop pressuring me  make me wanna scream stop pressuring me  just stop pressuring me stop fuckin  with me  make me wanna scream  oh my god  can t believe what i saw as i turned the tv this evening  i was disgusted by all the injustice all the injustice  all the injustice   with such delusions  don t it make you wanna scream   make you wanna scream   your bash abusing victimize within the scheme you try to cope with every lie they scrutinize oh brother  please have mercy   cause i just can t take it  stop pressuring me  just stop pressuring me stop pressuring me  make me wanna scream stop pressuring me  just stop pressuring me stop pressuring me  make me wanna scream stop pressuring me  just stop pressuring me stop pressuring me  make me wanna scream stop pressuring me  just stop pressuring me stop pressuring me  make me wanna scream  stop your pressure 
They Don't Care About Us,MichaelJackson,All I want to say is that they don t really care about us Don t worry what people say  we know the truth All I want to say is that they don t really care about us Enough is enough of this garbage All I want to say is that they don t really care about us  Skin head  dead head Everybody gone bad Situation  aggravation Everybody  allegation In the suit  on the news Everybody  dog food Bang  bang  shot dead Everybody s gone mad  All I want to say is that They don t really care about us All I want to say is that They don t really care about us  Beat me  hate me You can never break me Will me  thrill me You can never kill me Jew me  sue me Everybody do me Kick me  kike me Don t you black or white me  All I want to say is that They don t really care about us All I want to say is that They don t really care about us  Tell me what has become of my life I have a wife and two children who love me I am the victim of police brutality  now I m tired of bein  the victim of hate You re rippin  me of my pride  oh  for God s sake I look to heaven to fulfill this prophecy Set me free  Skin head  dead head Everybody gone bad Trepidation  speculation Everybody  allegation In the suit  on the news Everybody  dog food Black man  blackmail Throw the brother in jail  All I want to say is that They don t really care about us All I want to say is that They don t really care about us  Tell me what has become of my rights Am I invisible  cause you ignore me  Your proclamation promised me free liberty  now I m tired of bein  the victim of shame They re throwing me in a class with a bad name I can t believe this is the land from which I came You know I really do hate to say it The government don t want to see But if Roosevelt was livin  He wouldn t let this be  no  no  Skin head  dead head Everybody gone bad Situation  speculation Everybody  litigation Beat me  bash me You can never trash me Hit me  kick me You can never get me  All I want to say is that They don t really care about us All I want to say is that They don t really care about us  Some things in life  they just don t want to see But if Martin Luther was livin  He wouldn t let this be  no  no  Skin head  dead head Everybody gone bad Situation  segregation Everybody  allegation In the suit  on the news Everybody  dog food Kick me  kick me Don t you wrong or right me  All I want to say is that They don t really care about us All I want to say is that They don t really care about us  All I want to say is that They don t really care about us All I want to say is that They don t really care about   All I want to say is that They don t really care about  All I want to say is that They don t really care about us,all i want to say is that they don t really care about us don t worry what people say  we know the truth all i want to say is that they don t really care about us enough is enough of this garbage all i want to say is that they don t really care about us  skin head  dead head everybody gone bad situation  aggravation everybody  allegation in the suit  on the news everybody  dog food bang  bang  shot dead everybody s gone mad  all i want to say is that they don t really care about us all i want to say is that they don t really care about us  beat me  hate me you can never break me will me  thrill me you can never kill me jew me  sue me everybody do me kick me  kike me don t you black or white me  all i want to say is that they don t really care about us all i want to say is that they don t really care about us  tell me what has become of my life i have a wife and two children who love me i am the victim of police brutality  now i m tired of bein  the victim of hate you re rippin  me of my pride  oh  for god s sake i look to heaven to fulfill this prophecy set me free  skin head  dead head everybody gone bad trepidation  speculation everybody  allegation in the suit  on the news everybody  dog food black man  blackmail throw the brother in jail  all i want to say is that they don t really care about us all i want to say is that they don t really care about us  tell me what has become of my rights am i invisible  cause you ignore me  your proclamation promised me free liberty  now i m tired of bein  the victim of shame they re throwing me in a class with a bad name i can t believe this is the land from which i came you know i really do hate to say it the government don t want to see but if roosevelt was livin  he wouldn t let this be  no  no  skin head  dead head everybody gone bad situation  speculation everybody  litigation beat me  bash me you can never trash me hit me  kick me you can never get me  all i want to say is that they don t really care about us all i want to say is that they don t really care about us  some things in life  they just don t want to see but if martin luther was livin  he wouldn t let this be  no  no  skin head  dead head everybody gone bad situation  segregation everybody  allegation in the suit  on the news everybody  dog food kick me  kick me don t you wrong or right me  all i want to say is that they don t really care about us all i want to say is that they don t really care about us  all i want to say is that they don t really care about us all i want to say is that they don t really care about   all i want to say is that they don t really care about  all i want to say is that they don t really care about us
Stranger in Moscow,MichaelJackson,I was wandering in the rain Mask of life  feelin  insane Swift and sudden fall from grace Sunny days seem far away Kremlin s shadow belittlin  me Stalin s tomb won t let me be On and on and on it came Wish the rain would just let me  How does it feel   How does it feel   How does it feel  How does it feel  When you re alone And you re cold inside   Here abandoned in my fame Armageddon of the brain Kgb was doggin  me Take my name and just let me be Then a beggar boy called my name Happy days will drown the pain On and on and on it came And again  and again  and again Take my name and just let me be  How does it feel   How does it feel   How does it feel  How does it feel  How does it feel  How does it feel   How does it feel  Now  How does it feel  How does it feel  When you re alone And you re cold inside   How does it feel   How does it feel   How does it feel  How does it feel  How does it feel  How does it feel   How does it feel  Now  How does it feel  How does it feel  When you re alone And you re cold inside   Like a stranger in Moscow  Lord have mercy  Like a stranger in Moscow  Lord have mercy  We re talkin  danger We re talkin  danger  baby Like a stranger in Moscow We re talkin  danger We re talkin  danger  baby Like a stranger in Moscow I m livin  lonely I m livin  lonely  baby Stranger in Moscow,i was wandering in the rain mask of life  feelin  insane swift and sudden fall from grace sunny days seem far away kremlin s shadow belittlin  me stalin s tomb won t let me be on and on and on it came wish the rain would just let me  how does it feel   how does it feel   how does it feel  how does it feel  when you re alone and you re cold inside   here abandoned in my fame armageddon of the brain kgb was doggin  me take my name and just let me be then a beggar boy called my name happy days will drown the pain on and on and on it came and again  and again  and again take my name and just let me be  how does it feel   how does it feel   how does it feel  how does it feel  how does it feel  how does it feel   how does it feel  now  how does it feel  how does it feel  when you re alone and you re cold inside   how does it feel   how does it feel   how does it feel  how does it feel  how does it feel  how does it feel   how does it feel  now  how does it feel  how does it feel  when you re alone and you re cold inside   like a stranger in moscow  lord have mercy  like a stranger in moscow  lord have mercy  we re talkin  danger we re talkin  danger  baby like a stranger in moscow we re talkin  danger we re talkin  danger  baby like a stranger in moscow i m livin  lonely i m livin  lonely  baby stranger in moscow
This Time Around,MichaelJackson,This time around I ll never get bit Though you really wanna fix me This time around you re making me sick Though you really wanna get me Somebody s out Somebody s out to get me They really wanna fix me  hit me But this time around I m taking no shit Though you really wanna get me You really wanna get me  He really thought he really had Had a hold on me He really thought he really had They thought they really had control of me He really thought he really had Control of me He really thought he really had They thought they really could control me  This time around I ll never get bit Though you really wanna get me This time around I m taking no s    Though you really wanna fix me Somebody s out Somebody s out to use me They really want to use me And then falsely accuse me This time around They ll take it like spit  Cause you really can t control me You know you can t control me  He really thought he really had Had a hold on me He really thought he really had They thought they really had control of me He really thought he really had A hold on me He really thought he really had They thought they really had control of me  He really thought he really had Had a hold on me He really thought he really had They thought they really had control of me He really thought he really had A hold on me He really thought he really had They thought they really had control of me  Listen  I ve got problems of my own Flashin  cameras  taps on my phone Even in my home I ain t safe as I should be Things always missin  Maybe it could be my friends They ain t friends if they robbin  me Stoppin  me from makin  a profit  see Apology shallow like the ocean I guess I ll resort to gun totin  If I was dead broke and smokin  I d probably be by my lonesome I m a killer nigga I ain t jokin  Endo smoke got me choked and I m hopin  The fool comes slippin  So I could blow em open This time around I changed up my flow Got rid of the rocks Got Pitts by the door I ve raised other peoples to watch my back Stay away from strangers So I won t slack And I know my nigga Mike like that Baby  This time around yeah    He really thought he really had Control of me He really thought he really had They thought they really had control of me He really thought he really had A hold on me He really thought he really had They thought they really had control of me He really thought he really had Had a hold on me He really thought he really had They thought they really had control of me He really thought he really had Control of me He really thought he really had They thought they really had control of me He really thought he really had A hold on me He really thought he really had They thought they really had control of me This time around yeah He really thought ,this time around i ll never get bit though you really wanna fix me this time around you re making me sick though you really wanna get me somebody s out somebody s out to get me they really wanna fix me  hit me but this time around i m taking no shit though you really wanna get me you really wanna get me  he really thought he really had had a hold on me he really thought he really had they thought they really had control of me he really thought he really had control of me he really thought he really had they thought they really could control me  this time around i ll never get bit though you really wanna get me this time around i m taking no s    though you really wanna fix me somebody s out somebody s out to use me they really want to use me and then falsely accuse me this time around they ll take it like spit  cause you really can t control me you know you can t control me  he really thought he really had had a hold on me he really thought he really had they thought they really had control of me he really thought he really had a hold on me he really thought he really had they thought they really had control of me  he really thought he really had had a hold on me he really thought he really had they thought they really had control of me he really thought he really had a hold on me he really thought he really had they thought they really had control of me  listen  i ve got problems of my own flashin  cameras  taps on my phone even in my home i ain t safe as i should be things always missin  maybe it could be my friends they ain t friends if they robbin  me stoppin  me from makin  a profit  see apology shallow like the ocean i guess i ll resort to gun totin  if i was dead broke and smokin  i d probably be by my lonesome i m a killer nigga i ain t jokin  endo smoke got me choked and i m hopin  the fool comes slippin  so i could blow em open this time around i changed up my flow got rid of the rocks got pitts by the door i ve raised other peoples to watch my back stay away from strangers so i won t slack and i know my nigga mike like that baby  this time around yeah    he really thought he really had control of me he really thought he really had they thought they really had control of me he really thought he really had a hold on me he really thought he really had they thought they really had control of me he really thought he really had had a hold on me he really thought he really had they thought they really had control of me he really thought he really had control of me he really thought he really had they thought they really had control of me he really thought he really had a hold on me he really thought he really had they thought they really had control of me this time around yeah he really thought 
Earth Song,MichaelJackson,What about sunrise What about rain What about all the things that you said We were to gain What about killing fields Is there a time What about all the things That you said were yours and mine  Did you ever stop to notice All the blood we ve shed before Did you ever stop to notice This crying Earth  these weeping shores  Aah  ooh  What have we done to the world Look what we ve done What about all the peace That you pledge your only son  What about flowering fields Is there a time What about all the dreams That you said was yours and mine  Did you ever stop to notice All the children dead from war Did you ever stop to notice This crying earth  these weeping shores  Aah  ooh Aah  ooh  I used to dream I used to glance beyond the stars Now I don t know where we are Although I know we ve drifted far  Aah  ooh Aah  ooh  Aah  ooh Aah  ooh  Hey  what about yesterday  What about us  What about the seas  What about us  The heavens are falling down  What about us  I can t even breathe  What about us  What about apathy  What about us  Drowning in the seas  What about us  What about the promised land Preachin  what I believe  What about us  What about the holy land  What about it  What about the greed  What about us  Where did we go wrong Someone tell me why  What about us  What about baby boy  What about him  What about the days  What about us  What about all their joy Do we give a damn  Aah  ooh Aah  ooh,what about sunrise what about rain what about all the things that you said we were to gain what about killing fields is there a time what about all the things that you said were yours and mine  did you ever stop to notice all the blood we ve shed before did you ever stop to notice this crying earth  these weeping shores  aah  ooh  what have we done to the world look what we ve done what about all the peace that you pledge your only son  what about flowering fields is there a time what about all the dreams that you said was yours and mine  did you ever stop to notice all the children dead from war did you ever stop to notice this crying earth  these weeping shores  aah  ooh aah  ooh  i used to dream i used to glance beyond the stars now i don t know where we are although i know we ve drifted far  aah  ooh aah  ooh  aah  ooh aah  ooh  hey  what about yesterday  what about us  what about the seas  what about us  the heavens are falling down  what about us  i can t even breathe  what about us  what about apathy  what about us  drowning in the seas  what about us  what about the promised land preachin  what i believe  what about us  what about the holy land  what about it  what about the greed  what about us  where did we go wrong someone tell me why  what about us  what about baby boy  what about him  what about the days  what about us  what about all their joy do we give a damn  aah  ooh aah  ooh
D.S.,MichaelJackson,They want to get my ass Dead or alive You know he really tried to take me down by surprise I bet he missioned with the CIA He don t do half what he say  Tom Sneddon is a cold man Tom Sneddon is a cold man Tom Sneddon is a cold man Tom Sneddon is a cold man  He out shock in every single way He ll stop at nothing just to get his political say He think he bad because he s BSTA I bet he never had a social life anyway  You think he brother with the KKK  I know his mother never taught him right anyway He want your vote just to remain TA He don t do half what he say  Tom Sneddon is a cold man Tom Sneddon is a cold man Tom Sneddon is a cold man Tom Sneddon is a cold man  Tom Sneddon is a cold man Tom Sneddon is a cold man Tom Sneddon is a cold man Tom Sneddon is a cold man  Slash  Does he send letters to the FBI  Did he say to either do it or die   Tom Sneddon is a cold man Tom Sneddon is a cold man Tom Sneddon is a cold man Tom Sneddon is a cold man,they want to get my ass dead or alive you know he really tried to take me down by surprise i bet he missioned with the cia he don t do half what he say  tom sneddon is a cold man tom sneddon is a cold man tom sneddon is a cold man tom sneddon is a cold man  he out shock in every single way he ll stop at nothing just to get his political say he think he bad because he s bsta i bet he never had a social life anyway  you think he brother with the kkk  i know his mother never taught him right anyway he want your vote just to remain ta he don t do half what he say  tom sneddon is a cold man tom sneddon is a cold man tom sneddon is a cold man tom sneddon is a cold man  tom sneddon is a cold man tom sneddon is a cold man tom sneddon is a cold man tom sneddon is a cold man  slash  does he send letters to the fbi  did he say to either do it or die   tom sneddon is a cold man tom sneddon is a cold man tom sneddon is a cold man tom sneddon is a cold man
You Are Not Alone,MichaelJackson,Another day has gone I m still all alone How could this be You re not here with me You never said goodbye Someone tell me why Did you have to go And leave my world so cold  Everyday I sit and ask myself How did love slip away Something whispers in my ear and says  That you are not alone For I am here with you Though you re far away I am here to stay  But you are not alone I am here with you Though we re far apart You re always in my heart You are not alone  Alone  alone Why  alone  Just the other night I thought I heard you cry Asking me to come And hold you in my arms I can hear your prayers Your burdens I will bear But first I need your hand Then forever can begin  Everyday I sit and ask myself How did love slip away Something whispers in my ear and says  That you are not alone For I am here with you Though you re far away I am here to stay  But you are not alone And I am here with you Though we re far apart You re always in my heart For you are not alone  Whisper three words and I ll come runnin  And I and girl you know that I ll be there I ll be there  You are not alone I am here with you Though you re far away I am here to stay  For you are not alone I am here with you Though we re far apart You re always in my heart  For you are not alone  you are not alone  For I am here with you  I am here with you  Though you re far away  though you re far away   You and me  I am here to stay  For you are not alone  you are always in my heart  For I am here with you though we re far apart You re always in my heart  For you are not alone not alone  oh,another day has gone i m still all alone how could this be you re not here with me you never said goodbye someone tell me why did you have to go and leave my world so cold  everyday i sit and ask myself how did love slip away something whispers in my ear and says  that you are not alone for i am here with you though you re far away i am here to stay  but you are not alone i am here with you though we re far apart you re always in my heart you are not alone  alone  alone why  alone  just the other night i thought i heard you cry asking me to come and hold you in my arms i can hear your prayers your burdens i will bear but first i need your hand then forever can begin  everyday i sit and ask myself how did love slip away something whispers in my ear and says  that you are not alone for i am here with you though you re far away i am here to stay  but you are not alone and i am here with you though we re far apart you re always in my heart for you are not alone  whisper three words and i ll come runnin  and i and girl you know that i ll be there i ll be there  you are not alone i am here with you though you re far away i am here to stay  for you are not alone i am here with you though we re far apart you re always in my heart  for you are not alone  you are not alone  for i am here with you  i am here with you  though you re far away  though you re far away   you and me  i am here to stay  for you are not alone  you are always in my heart  for i am here with you though we re far apart you re always in my heart  for you are not alone not alone  oh
Childhood,MichaelJackson,Have you seen my childhood  I m searching for the world that I come from  Cause I ve been looking around In the lost and found of my heart No one understands me They view it as such strange eccentricities  Cause I keep kidding around Like a child  but pardon me  People say I m not okay  Cause I love such elementary things It s been my fate to compensate For the childhood I ve never known  Have you seen my childhood  I m searching for that wonder in my youth Like pirates in adventurous dreams Of conquest and kings on the throne  Before you judge me Try hard to love me Look within your heart then ask Have you seen my childhood   People say I m strange that way  Cause I love such elementary things It s been my fate to compensate For the childhood I ve never known  Have you seen my childhood  I m searching for that wonder in my youth Like fantastical stories to share The dreams I would dare  watch me fly  Before you judge me  try hard to love me The painful youth I ve had  Have you seen my childhood,have you seen my childhood  i m searching for the world that i come from  cause i ve been looking around in the lost and found of my heart no one understands me they view it as such strange eccentricities  cause i keep kidding around like a child  but pardon me  people say i m not okay  cause i love such elementary things it s been my fate to compensate for the childhood i ve never known  have you seen my childhood  i m searching for that wonder in my youth like pirates in adventurous dreams of conquest and kings on the throne  before you judge me try hard to love me look within your heart then ask have you seen my childhood   people say i m strange that way  cause i love such elementary things it s been my fate to compensate for the childhood i ve never known  have you seen my childhood  i m searching for that wonder in my youth like fantastical stories to share the dreams i would dare  watch me fly  before you judge me  try hard to love me the painful youth i ve had  have you seen my childhood
Tabloid Junkie,MichaelJackson,Speculate to break the one you hate Circulate the lie you confiscate Assassinate and mutilate The hounding media in hysteria Who s the next for you to resurrect JFK exposed the CIA Truth be told the grassy knoll The blackmail story in all your glory  It s Slander You say it s not a sword But with your pen you torture men You d crucify the Lord And you don t have to read it And you don t have to eat it To buy it is to feed it So why do we keep foolin  ourselves  Just because you read it in a magazine Or see it on the TV screen Don t make it factual Though everybody wants to read all about it Just because you read it in a magazine Or see it on the TV screen Don t make it factual  actual They say he s homosexual  In the hood Frame him if you could Shoot to kill To blame him if you will If he dies sympathize Such false witnesses Damn self righteousness In the black Stab me in the back In the face To lie and shame the race Heroine and Marilyn The headline stories of All your glory  It s slander With the words you use You re a parasite in black and white Do anything for news If you don t go and buy it Then they won t glorify it To read it sanctifies it Then why do we keep foolin  ourselves  Just because you read it in a magazine Or see it on the TV screen Don t make it factual Everybody wants to read all about it Just because you read it in a magazine Or see it on the TV screen Don t make it factual See  but everybody wants to believe all about it  Just because you read it in a magazine Or see it on the TV screen Don t make it factual See  but everybody wants to believe all about it Just because you read it in a magazine Or see it on the TV screen Don t make it factual  actual She s blonde and she s bisexual  Scandal With the words you use You re a parasite in black and white Do anything for news And you don t go and buy it Then they won t glorify it To read it sanctifies it Why do we keep foolin  ourselves Slander You say it s not a sin But with your pen you torture men Then why do we keep foolin  ourselves  Just because you read it in a magazine Or see it on the TV screen Don t make it factual Though everybody wants to read all about it Just because you read it in a magazine Or see it on the TV screen Don t make it factual See  but everybody wants to believe all about it  Just because you read it in a magazine Or see it on the TV screen Don t make it factual Just because you read it in a magazine Or see it on the TV screen Don t make it factual Just because you read it in a magazine Or see it on the TV screen Don t make it factual  actual  You re so damn disrespectable,speculate to break the one you hate circulate the lie you confiscate assassinate and mutilate the hounding media in hysteria who s the next for you to resurrect jfk exposed the cia truth be told the grassy knoll the blackmail story in all your glory  it s slander you say it s not a sword but with your pen you torture men you d crucify the lord and you don t have to read it and you don t have to eat it to buy it is to feed it so why do we keep foolin  ourselves  just because you read it in a magazine or see it on the tv screen don t make it factual though everybody wants to read all about it just because you read it in a magazine or see it on the tv screen don t make it factual  actual they say he s homosexual  in the hood frame him if you could shoot to kill to blame him if you will if he dies sympathize such false witnesses damn self righteousness in the black stab me in the back in the face to lie and shame the race heroine and marilyn the headline stories of all your glory  it s slander with the words you use you re a parasite in black and white do anything for news if you don t go and buy it then they won t glorify it to read it sanctifies it then why do we keep foolin  ourselves  just because you read it in a magazine or see it on the tv screen don t make it factual everybody wants to read all about it just because you read it in a magazine or see it on the tv screen don t make it factual see  but everybody wants to believe all about it  just because you read it in a magazine or see it on the tv screen don t make it factual see  but everybody wants to believe all about it just because you read it in a magazine or see it on the tv screen don t make it factual  actual she s blonde and she s bisexual  scandal with the words you use you re a parasite in black and white do anything for news and you don t go and buy it then they won t glorify it to read it sanctifies it why do we keep foolin  ourselves slander you say it s not a sin but with your pen you torture men then why do we keep foolin  ourselves  just because you read it in a magazine or see it on the tv screen don t make it factual though everybody wants to read all about it just because you read it in a magazine or see it on the tv screen don t make it factual see  but everybody wants to believe all about it  just because you read it in a magazine or see it on the tv screen don t make it factual just because you read it in a magazine or see it on the tv screen don t make it factual just because you read it in a magazine or see it on the tv screen don t make it factual  actual  you re so damn disrespectable
2 Bad,MichaelJackson,Told me that you re doin  wrong Word out shockin  all alone Cryin  wolf ain t like a man Throwin  rocks to hide your hands You ain t done enough for me You ain t done enough for me You are disgustin  me  yeah yeah You re aiming just for me You are disgustin  me Just want your cut from me But too bad  too bad  Look who just walked in the place Dead and stuffy in the face Look who s standing if you please Though you tried to bring me to my knees  Too bad too bad about it Why don t you scream and shout it Too bad too bad about it Why don t you just scream and shout it Too bad too bad about it Why don t you scream and shout it Too bad too bad about it Why don t you just scream and shout it  Hell all up in Hollywood Sayin  that you got it good Creepin  from a dusty hole Tales of what somebody told  What do you want from me  What do you want from me  Tired of you haunting me  yeah yeah You re aiming just for me You are disgustin  me You got blood lust for me But too bad  too bad  Look who got slapped in the face It s dead and stuffy in the place I m right back where I wanna be I m standin  though you re kickin  me  Too bad too bad about it Why don t you scream and shout it  Too bad too bad about it Why don t you just scream and shout it Too bad too bad about it Why don t you scream and shout it Too bad too bad about it Why don t you just scream and shout it  Too bad too bad about it Why don t you scream and shout it Too bad too bad about it Why don t you just scream and shout it Too bad too bad about it Why don t you scream and shout it Too bad too bad about it Why don t you just scream and shout it  Life s about a dream I m really undefeated when MJ is on my team  theme Reality brings forth realizm It s the man of steel organizm  twizm Not from the prizm  take charge like manilla Nine five shaq represent with the Thrilla Grab my crotch  twist my knee  then I m through Mike s bad  I m bad Who are you  Too bad too bad about it Why don t you scream and shout it Too bad too bad about it Why don t you just scream and shout it Too bad too bad about it Why don t you scream and shout it Too bad too bad about it Why don t you just scream and shout it  Too bad too bad about it Why don t you scream and shout it Too bad too bad about it Why don t you just scream and shout it Too bad too bad about it Why don t you scream and shout it Too bad too bad about it Why don t you just scream and shout it Too bad too bad about it ,told me that you re doin  wrong word out shockin  all alone cryin  wolf ain t like a man throwin  rocks to hide your hands you ain t done enough for me you ain t done enough for me you are disgustin  me  yeah yeah you re aiming just for me you are disgustin  me just want your cut from me but too bad  too bad  look who just walked in the place dead and stuffy in the face look who s standing if you please though you tried to bring me to my knees  too bad too bad about it why don t you scream and shout it too bad too bad about it why don t you just scream and shout it too bad too bad about it why don t you scream and shout it too bad too bad about it why don t you just scream and shout it  hell all up in hollywood sayin  that you got it good creepin  from a dusty hole tales of what somebody told  what do you want from me  what do you want from me  tired of you haunting me  yeah yeah you re aiming just for me you are disgustin  me you got blood lust for me but too bad  too bad  look who got slapped in the face it s dead and stuffy in the place i m right back where i wanna be i m standin  though you re kickin  me  too bad too bad about it why don t you scream and shout it  too bad too bad about it why don t you just scream and shout it too bad too bad about it why don t you scream and shout it too bad too bad about it why don t you just scream and shout it  too bad too bad about it why don t you scream and shout it too bad too bad about it why don t you just scream and shout it too bad too bad about it why don t you scream and shout it too bad too bad about it why don t you just scream and shout it  life s about a dream i m really undefeated when mj is on my team  theme reality brings forth realizm it s the man of steel organizm  twizm not from the prizm  take charge like manilla nine five shaq represent with the thrilla grab my crotch  twist my knee  then i m through mike s bad  i m bad who are you  too bad too bad about it why don t you scream and shout it too bad too bad about it why don t you just scream and shout it too bad too bad about it why don t you scream and shout it too bad too bad about it why don t you just scream and shout it  too bad too bad about it why don t you scream and shout it too bad too bad about it why don t you just scream and shout it too bad too bad about it why don t you scream and shout it too bad too bad about it why don t you just scream and shout it too bad too bad about it 
