Title,Artist,c_lyrics
I Don't Wanna Know,Enya,i just can t believe this man just another night of these thoughts can t get this outta my head  yeah  somebody said they saw you the person you were kissing wasn t me and i would never ask you i just kept it to myself  i don t wanna know if you re playin  me  keep it on the low cuz my heart can t take it anymore and if you re creepin   please don t let it show oh baby  i don t wanna know  oh baby i think about it when i hold you when looking in your eyes  i can t believe i don t need to know the truth baby  keep it to yourself  i don t wanna know if you re playin  me  keep it on the low cuz my heart can t take it anymore and if you re creepin   please don t let it show oh baby  i don t wanna know  did he touch you better than me did he watch you fall asleep did you show him all those things that you used to do to me if you re better off that way baby all that i can say if you re gonna do your thing then don t come back to me  i don t wanna know your whereabouts or how you movin i know when you in the house or when you cruisin its been proven  my love you abusin i can t understand how a man got you choosin  yeah  undecided i came and provided  my undivided you came and denied it  why   don t even try it  i know when you lyin  i know when you lyin  don t even do that i know why you cryin  stop cryin  i m not applyin no pressure  just wanna let you know that i don t wanna let you go  i don t wanna let you go  and i don t wanna let you leave can t say i didn t let you breathe gave you extra cheese c mon  put you in the suv you wanted ice so i made you freeze made you hot like the west indies  that s right  now its time you invest in me cause if not then its best you leave holla yeah  i don t wanna know if you re playin  me  keep it on the low cuz my heart can t take it anymore and if you re creepin   please don t let it show oh baby  i don t wanna know  i don t wanna know if you re playin  me  keep it on the low cuz my heart can t take it anymore and if you re creepin   please don t let it show oh baby  i don t wanna know
The Humming,Enya,and all the light  will be  will be and all the future prophecy and all the waves  the sea  the sea and on the road are you and me  mmmhmmm  mmmhmmm mmmhmmm  mmmhmmm  and all the winds are like a kiss and all the years are nemesis and all the moments fall in mist and all is dust  remember this  mmmhmmm  mmmhmmm mmmhmmm  mmmhmmm mmmhmmm  mmmhmmm mmmhmmm  mmmhmmm  and all the light will be  will be and all the waves  the sea and all the waves  the sea  the sea when all the light will be  and all the dust will drift away and all the nights and all the days and all the heavens go their way and only change is here to stay  mmmhmmm  mmmhmmm mmmhmmm  mmmhmmm mmmhmmm  mmmhmmm mmmhmmm  mmmhmmm  and all the light will be  will be and all the waves  the sea and all the waves  the sea  the sea when all the light will be  and all the stars without a name and all the skies that look the same and all the clouds that fade and then then all of this begins again  mmmhmmm  mmmhmmm mmmhmmm  mmmhmmm
The Loxian Gate,Enya,ora beyhe o llay ay o ay a bey ah llay  ora beyhe o llay ay o ay a bey ah aday  phormmayonay menemmay bayrr o no orpirrrommay eepha lyi kul ay o no  oooo vaya vee  oooo daya dee oooo vaya vee  oooo daya dee  orluuammay oanrro a kaleean orberummay essa phayr mayvollan  oooo vaya vee  oooo daya dee oooo vaya vee  oooo daya dee  orjummay rro llay kollan ju orrommayanay kammay a menemmay  oooo vaya vee  oooo daya dee oooo vaya vee  oooo daya dee  horoommay no bey a errusay eella erkaka  huruhuru netheejan  horkanmmaynay seva beru sevaran nay a korheeay  huruhuru netheejan
So I Could Find My Way,Enya,a thousand dreams you gave to me you held me high  you held me high and all those years you guided me so i could find my way  how long your love had sheltered me you held me high  you held me high a harbour holding back the sea so i could find my way  so let me give this dream to you upon another shore so let me give this dream to you each night and ever more  yet only time keeps us apart you held me high  you held me high you re in the shadows of my heart so i can find my way  you held me high  you held me high  so let me give this dream to you upon another shore so let me give this dream to you each night and ever more  a thousand dreams you gave to me you held me high  you held me high and all those years you guided me so i could find my way  so i could find my way
Even In The Shadows,Enya,even in the shadows i turn around to find you walk away and even when i whisper the winds will come to steal the words i say  i could fall and keep on falling i could call and keep on calling wonder why this love is over wonder why it s not forever  even in the silence i hear my heart it s still a part of you and even in the morning when light has come i don t know what to do   so high  so low  i could fall and keep on falling i could call and keep on calling wonder why this love is over wonder why it s not forever   so high  so low  i could fall and keep on falling i could call and keep on calling wonder why this love is over wonder why it s not forever   so high  so low  i could fall and keep on falling i could call and keep on calling wonder why this love is over wonder why it s not forever   so high  so low  i could fall and keep on falling i could call and keep on calling wonder why this love is over wonder why it s not forever
Echoes in Rain,Enya,ah  ah  ah  ah  ah  ah  ah  ah ah  ah  ah  ah  ah  ah  ah  wait for the sun watching the sky black as a crow night passes by taking the stars so far away everything flows here comes another new day ah  ah  ah  ah  ah  ah  ah  into the wind i throw the night silver and gold turn into light i m on the road i know the way everything flows here comes another new day  alleluia  alle alle alleluia alleluia  alleluia alleluia  alle alle alleluia alleluia  alleluia ah  ah  ah  ah  ah  ah  ah  echoes in rain drifting in waves long journey home never too late black as a crow night comes again everything flows here comes another new day  alleluia  alle alle alleluia alleluia  alleluia alleluia  alle alle alleluia alleluia  alleluia ah  ah  ah  ah  ah  ah  ah  ah ah  ah  ah  ah  ah  ah  ah  alleluia  alle alle alleluia alleluia  alleluia alleluia  alle alle alleluia alleluia  alleluia alleluia  alle alle alleluia alleluia  alleluia alleluia  alle alle alleluia alleluia  alleluia ah  ah  ah  ah  ah  ah  ah  ah ah  ah  ah  ah  ah  ah  ah  ah aah aah aah aah
I Could Never Say Goodbye,Enya,night has gone without my tears now i walk alone you re no longer here the days turn to years  i could never say goodbye to the sadness in my eyes you know you are in my heart but the miles keep us apart  time moves slow in the falling rain i still dream of you and whisper your name will i see you once again   i could never say goodbye to the sadness in my eyes you know you are in my heart but the miles keep us apart  i could never say goodbye
Dark Sky Island,Enya,listen to the waves speak up the blue voice of the sea and they whisper as they touch the shore come back to me come back to me  boat by boat upon the waves all come to find the light in the darkness of the sky above come back to me come back to me  capella  auriga eta carinae  sagitta aquila  alpha centauri  twilight comes to close the day and let the night break free and from deep blue skies the heavens rise come back to me come back to me come back to me come back to me  capella  auriga eta carinae  sagitta aquila  alpha centaurii  moonlight brings the ocean s storms like waves upon the sea and the midnight shore calls out once more come back to me come back to me come back to me come back to me  come back to me come back to me
Sancta Maria,Enya,sancta maria sancta maria sancta maria sancta maria  sancta maria  maria  maria sancta maria  maria  maria sancta maria  maria  maria sancta maria  maria  maria  sancta maria  sancta maria sancta maria  sancta maria sancta maria  sancta maria sancta maria  sancta maria sancta maria  sancta maria  maria  maria sancta maria  maria  maria sancta maria  maria  maria sancta maria  maria  maria sancta maria  maria  maria sancta maria  maria  maria
Diamonds On The Water,Enya,listen to the river it echoes softly drifting in my memories the sound of summer  da de da de da de da de da de da de da de da de da de da de da de da de  listen to my heart beat as i lie dreaming everywhere is whispering the sound of summer  the diamonds on the water are falling from the sun the diamonds on the water are da de da de da de  da de da de da de da de da de da de da de da de da de da de da de da de da de da de da de
