Title,Artist,pre_clean
Ok,Kirk_Franklin,woke up to a world that is changing looking out the window  got me wondering lately will we be ok  will we be ok   huh  yessuh  one day i can feel the sun shining next day a bullet can leave a momma cryin  will she be ok   lord have mercy  tell me will we be ok   truth is   life is taking everything that i have just to survive  can i testify    i got twenty five dollars in my pocket and i think another ten in my glove compartment i m trying so bad not to cry  but it s hard to stop it but you say all of my needs you promised you got it  so i m gon  be ok  hahaha yessuh  i m gon  be ok  sing  ok  ok  see i gotta remember  that my god is bigger than any battle i ll ever face so i m gon  be ok  yeah it s dark right now  huh but i still see the light  come on  why do we hate one another   yeah  when love is the most beautiful color it takes away the grey  i hope somebody s listening  and makes everything ok  huh  my lord  where is the american dream  if only one percent knows what it means to really be ok  are y all listening   tell me is that ok   huh  say it again   life is taking everything that i have just to survive  let me talk to you   i got twenty five dollars in my pocket and i think another ten in my glove compartment  ay  i m trying so bad not to cry  but it s hard to stop it  huh  but you say  but you say all of my needs you promised you got it  help me   so i m gon  be ok  even in the midst of trouble say  i m gon  be ok  sing  ok  ok  yessuh  see i gotta remember  that my god is bigger  my god is bigger  than any battle i ll ever face so i m gon  be ok  say   see our god is great this season of pain it won t last always  hallelujah  life is taking everything that i have just to survive  open up your eyes y all   you got twenty five dollars in your pocket and you think another ten in your glove compartment but that family with no food would trade places with you  yessuh  give thanks and don t forget how you got it  and you gon  be ok  yea  ha  can i get a witness   we gon  be ok  sing  ok  ok  because i gotta remember  see i gotta remember  no matter what i go through  that my god is bigger  my god is bigger  than any battle i ll ever face  c mon  so i m gon  be ok  if one door closes  god s got another  ha  we gon  be ok  your doctor s not the final answer y all  hey  and you gon  be ok  you needed the storm to wake you up and make you better  i m gon  be ok  now sing  ok  ok  so i m gon  be ok  yessuh 
Never Alone,Kirk_Franklin,in my time i ve traveled some roads a rolling stone nowhere feels like home and i ve seen people come  then they go life is just a story of some highs and some lows  tell me do you believe in miracles  i m standing here before your eyes  i ve cried many rivers i ve walked through some pain i ve seen my world crumble and i ll carry the shame but i know somebody  he calls me his own i can hear heaven singing out oh oh oh  you re never alone oh oh oh  you re never alone  everybody wants to be king we put all our hope inside material things in your light i now understand that everything i have ain t everything that i am  oh  but sometimes i feel like i m not good enough but that s when love says you re mine  oh no  i ve cried many rivers i ve walked through some pain i ve seen my world crumble and i ll carry the shame but i know somebody  he calls me his own i can hear heaven singing out oh oh oh  you re never alone  oh oh oh  you re never alone  no  no  no  no  no  oh  i may have took some time but now i realize my imperfections were a part of your plan and if all things work together in the end the broken will be beautiful  there s not a hole too deep that god s love is not deeper still you ve come too far to give up now let s go   i ve cried many rivers  i ve walked through some pain  oh  no  i ve seen my world crumble   and i ve carried the shame  and i ve carried the shame but i know somebody  he calls me his own  can you hear heaven singing out  oh oh oh  you re never alone  oh  you re never  oh yeah  oh oh oh  you re never alone  oh  no  no  no  no  no  yeah  oh oh oh  you re never alone  oh  no  no  no  no  no  yeah  oh oh oh  you re never alone  alone
Bleed the Same,Kirk_Franklin,i wanna say something to everyone  in a spirit of humility  a spirit of meekness  and a spirit of christ like love    there s chaos and calamity in the world  and there s so much hurt and distrust  when police are killed  we need to say something  when black boys are killed  we need to say something  and when we don t say something  we re saying something    we have the spirit of redemption when we speak  at our concert and our churches  i beg of you  let s ask the people that we are accountable to stand in front of  to pray with us  for healing
Bleed the Same (Intro),Kirk_Franklin,i wanna say something to everyone  in a spirit of humility  a spirit of meekness  and a spirit of christ like love    there s chaos and calamity in the world  and there s so much hurt and distrust  when police are killed  we need to say something  when black boys are killed  we need to say something  and when we don t say something  we re saying something    we have the spirit of redemption when we speak  at our concert and our churches  i beg of you  let s ask the people that we are accountable to stand in front of  to pray with us  for healing
Unfinished,Kirk_Franklin,not scared to say it  i used to be the one  preaching it to you  that you could overcome  i still believe it  but it ain t easy   cause that world i painted  where things just all work out  it started changing  and i started having doubts  and it got me so down    but i picked myself back up  and i started telling me  no  my god s not done  making me a masterpiece  he s still working on me    he started something good and i m gonna believe it  he started something good and he s gonna complete it  so i ll celebrate the truth  his work in me ain t through  i m just unfinished  i m just unfinished  so i ll celebrate the truth  his work in me ain t through  i m just unfinished    i know his history  and the kind of god he is  he might make it a mystery  but he s proving i can trust in him  and yeah  i believe it    so i can pick myself back up  and keep on telling me  no  my god s not done  making me a masterpiece  no  my god s not done    he started something good and i m gonna believe it  he started something good and he s gonna complete it  so i ll celebrate the truth  his work in me ain t through  i m just unfinished   yeah   i m just unfinished  so i ll celebrate the truth  his work in me ain t through  no    still working  still  still working on me  he s still working  still  still working on me  oh    he started something good and i m gonna believe it  he started something good and he s gonna complete it  so i ll celebrate the truth  his work in me ain t through  i m just unfinished  i m just unfinished   i m just unfinished   so i ll celebrate the truth  his work in me ain t through  i m just unfinished    still working  still  still working on me  he s still working  still  still working on me  oh  yeah  i m just unfinished
Back to Life,Kirk_Franklin,i breathe out confusion  i breathe in your truth  i breathe out all my fear  i breathe in your peace    i  i m coming back to life  i m feeling hope arise  because of you  only you  jesus  i  i m leaving the rest behind  my heart is satisfied  because of you  only you  jesus     i lay down my weakness  i take on your strength  i lay down my defenses  i step into your victory     i  i m coming back to life  i m feeling hope arise  because of you  only you  jesus  i  i m leaving the rest behind  my heart is satisfied  because of you  only you  jesus   only you  jesus     shame and depression  and all anxieties  they have no power over me  addiction and strongholds  and every disease  they have no power over me  shame and depression  and all anxieties  they have no power over me  addiction and strongholds  and every disease  they have no power over me    oh  i  i m coming back to life  i m feeling hope arise  because of you  only you  jesus  i  i m leaving the rest behind  my heart is satisfied  because of you  only you  jesus  i  i m coming back to life  i m feeling hope arise  because of you  only you  jesus  oh  i  i m leaving the rest behind  my heart is satisfied  because of you  only you  jesus    because of you  only you  i m coming back to life  oh  thank you jesus  oh  thank you jesus  i m coming back to life  i m coming back to life  thank you lord  i m coming back  i m coming back to life
Children Go Where I Send You,Kirk_Franklin,hey  yeah  children go where i send you  how shall i send you   i m gonna send you one by one  one for the little bitty  baby  born  born  born in bethlehem    children go where i send you  how shall i send you   i m gonna send you two by two  two for paul and silas  one for the little bitty baby  born  born  born in bethlehem    children go where i send you  oh  how shall i send you   i m gonna send you four by four  four for the four that stood at the door  three for the hebrew children  two for paul and silas  one for the little bitty baby  born  born  born in bethlehem    children go where i send you  oh  how shall i send you   i m gonna send you six by six  six for the six that couldn t get fixed  five for the gosel preacher  four for the four that stood at the door  three for the hebrew children  two for paul and silas  one for the little bitty baby  born  born in bethlehem    children go where i send you  oh  how shall i send you   i m gonna send you eight by eight  eight for the eight that stood at the gate  seven to the seven that came down from heaven  six for the six that couldn t get fixed  five for the gosel preacher  four for the four that stood at the door  three for the hebrew children  two for paul and silas  one for the little bitty baby  one for the little bitty baby  one for the little bitty baby    he was born  born  born in bethlehem  bethlehem  two  three  four
We Three Kings,Kirk_Franklin,i m looking for the star right now  i wonder where you are right now     wait a minute     we three kings of orient are  bearing gifts  we traverse afar  field and fountain  moor and mountain  following yonder star     whoo    yah  star  let s go     born a king on bethlehem s plain  bethlehem s    gold i bring  gold i bring to crown him again  you are    you are  king forever  ceasing never  over us all to reign    hallelujah  sing  shining wonderful  you light up the night  star  you re so royal and your beauty is bright  you re westward leading  still you re proceeding   guide us  guide us to the light   we won t stop  we won t stop until we see the light    i wanna find the light    we  three kings  forever we pray  a long time   to find the lamb that will save the day  through the storm   through storm  through night  i ll chase the light  no matter how long it takes     cause i can t stop  let s go    star  you re so wonderful  you light up the night  star  you re so royal   star  you re so royal and your beauty is bright   you are  you re westward leading   and we are  still you re proceeding   guide us  guide us to the light   and we won t stop  we won t stop until we see the light    because this world  it feels so cold  feels so cold  we need a new heart  we need a new heart   for our broken souls  for our souls   we know what we need   we need a love  a love song   song to sing  for the whole world   for whenthe day comes  when morning comes   what will it bring  tell me   tell me  what will it bring     i m looking for the star right now    looking for the star right now  i m looking for the star right now   i wonder where you are right now    i wonder where you are right now  i wonder where you are right now   uh  yeah  i m looking for the star right now    looking for the star right now  i m looking for the star right now   yeah  see  i wonder where you are right now    i wonder where you are right now  i wonder where you are right now     star  you re so wonderful  you light up the night  you re so royal   star  you re so royal  and you re beautiful    and your beauty is bright  you re so beautiful    you are  you re westward leading   we wanna follow ya  still you re proceeding  we wanna see ya   guide us to the light   and we can t stop  we won t stop until we see the light    let s go  i wanna see the light  i m looking for the star right now  yeah  i wonder where you are right now
Finish Line / Drown,Kirk_Franklin,do do do do do do do do do do do do do do do do and we back  and we back  and we back  and we back do do do do do do do do do do do do do do do do do do do do do do do do do do and we back  and we back do do do do do do do  and we back  do do do do do  they ain t teaching taxes in school it don t even matter i was acting a fool but who would think their raps would turn into racks  don t matter  matter fact  it could happen to you scars on my head i m the boy who lived the boy love playing when the boy too sick reclining on a prayer  i m declining to help i ve been lying to my body can t rely on myself  oh no last year got addicted to xans suffocated my name and started to miss my chance la for four months end up leaving right back i m in love with my city bitch i sleep in my hat  uh i felt hog tied ever since my dog died he lived to eighty four  damn  that s a long ride i know he up there he just sit and he wait i ll be racing up the stairs i ma get to the gate singing  do do do do do do do do do do do do do do do do do do do do do do do do do do do do do do do do do do do do do do do do do do do do do do do do do do do do do do    oh  all my days i prayed and prayed and now i see the finish line oh i m gonna finish mine  yeah all my days i prayed and prayed and now i see the finish line gonna finish mine  yeah  hey  gimme the water  gimme the water i need the kind from space jam get this money  get this budget  kok to day camp me and my girl plan to stay to the end hope there never come a day where we be better as friends we in a marathon we could build a marriage on arguments as parents digging deeper than a baritone i ve been getting blocked just trying to make songs with friends labels told me to my face that they own my friends i got to pray i got to pray  like hammer after  2 legit  i got the power i could poke lucifer with crucifix i cannot scrape on stupid shit i  stand up  like i m ludacris i know some folks that talk so much you d think they drive a uber whip damn  queen said   why we in a queen bed  i said it s yours don t worry little bean head i m just here to catch my breath i got a world tattoo she said   cool just bring me some food     oh  all my days i prayed and prayed and now i see the finish line oh i m gonna finish mine  yeah all my days i prayed and prayed and now i see the finish line i m gonna finish mine  yeah  do do do do do do do do do do do do do do do do do do do do do do do do do do do do do do do do do do do do do do do do do do do do do do do do do do do do do do   the water may be deeper than it s ever been  lord rain down on me so i can move on water like children at the altar  like god inside my house i love you  i love you  you looking holy like mama you made a church out of feathers so when she fly to the father she know the choir gon  follow and all the offering paid she gave my name away to your holy house she like my blessings in disguise she like her jesus mountain high so he can watch her lonely child i know my god i know my god seen his breaks and his edges are jagged for giving that pain to his city in gold like everything is everything like all them days he prayed with me like emptiness was tamed in me and all that was left was his love and all that was left was his love  never  and all that was left was his love  never  and all that was left was his love   never  never drown the water may be deeper than it s ever been  never  never  never  never drown the water may be deeper than it s ever been  never  never  never  never drown   uh  never  never  never chance let me in  c mon this thirst in my soul  there s a thirst in my soul it tell me  where else can i go   where   for you  come on  i may cry a river  i may cry a thousand tears  but  but you take each drop and you wash  you wash me new  me new  people sing  this water is deep  yes  yes and i need you to  jesus rescue me  come on  save me  i need you to  take me to your mountain  hallelujah  so someday chicago will be free  someday we ll all be free  be free  say   the water may be deeper than it s ever been  never  never  never  never drown the water may be deeper than it s ever been  never  never  never  never drown
Amazing Grace,Kirk_Franklin,amazing grace  how sweet the sound that saved a wretch like me i once was lost but now i m found was blind  but now  i see   t was grace that taught my heart to fear  and grace  my fears relieved  how precious did that grace appear the hour i first believed   through many dangers  toils and snares i have already come   tis grace has brought me safe thus far and grace will lead me home   we ve been there ten thousand years bright shining as the sun  we ve no less days to sing god s praise than when we ve first begun   amazing grace  how sweet the sound that saved a wretch like me  i once was lost but now am found i was blind  but now  i see i once was lost but now am found was blind  but now  i see
